x,xStar,y,yStar
026C,6264,7EEA,7D9A
FD9B,9D93,1FAF,3157
E26F,8267,274E,AD95
FE45,9E4D,093C,C5A2
93E2,F3EA,DBD6,C82E
0633,663B,9B2A,5190
7EB2,1EBA,553A,8534
EFB8,8FB0,327A,D50D
9BA2,FBAA,72BB,56FF
15CC,75C4,7C6B,731B
8443,E44B,453D,7724
D2CD,B2C5,00B0,C554
A34A,C342,E61E,349A
CDF5,ADFD,82A8,8C38
1329,7321,2FFC,3D59
40A1,20A9,F79D,E1E2
BAFB,DAF3,4C29,8AAD
8B34,EB3C,7722,BD6A
509F,3097,F764,FC84
4F2D,2F25,21DE,7C5A
AC3F,CC37,2597,50DF
3AC3,5ACB,5412,F947
7F9A,1F92,6871,F873
3F7C,5F74,2DCD,819A
731E,1316,9330,F118
DCE2,BCEA,ECA2,3DEC
1DA0,7DA8,863F,C744
1967,796F,A0B8,B0B9
2AE6,4AEE,03EC,B85B
D207,B20F,2856,406E
E35F,8357,B2B0,60A2
E64E,8646,BF9E,F76F
F280,9288,419F,EDC0
7E14,1E1C,F31D,FC6D
4F3B,2F33,3E97,85F9
1A3A,7A32,6887,2883
50B5,30BD,96CA,0D5C
9AA5,FAAD,168D,5005
7B73,1B7B,5829,D1EF
DFC2,BFCA,193E,BBDA
8524,E52C,4669,E923
ABE9,CBE1,6B1C,C056
90E1,F0E9,F6E5,69CF
973D,F735,710F,2BB5
084F,6847,D446,444F
138F,7387,D6D5,A6DF
F2D9,92D1,ADEC,D7C2
5397,339F,BF4F,B9AF
AFF6,CFFE,84D3,E0ED
5F35,3F3D,EB6B,54B8
D61D,B615,8F59,9EB6
C43F,A437,74C6,562E
CE38,AE30,45C3,F44F
8BD0,EBD8,F1A6,4F54
4185,218D,072F,9BE4
C24C,A244,C42C,942E
8BCD,EBC5,34A7,0F13
326B,5263,8638,6740
39D6,59DE,3E32,EBBC
095F,6957,F9DD,39DC
E8AC,88A4,8158,0E87
46BC,26B4,D3DE,0C29
6C0C,0C04,69A7,61D7
0704,670C,3FE1,3C31
725A,1252,0FB8,CFBD
2F11,4F19,6389,70BD
012C,6124,40C3,4943
FB0B,9B03,8CC2,6921
9121,F129,194A,B69E
6759,0751,0F42,8D6A
74ED,14E5,D9F9,816C
6113,011B,2683,EDEA
F11A,9112,BE96,3DEE
F279,9271,9694,8940
61A0,01A8,F20C,D65A
90AE,F0A6,E602,A60B
4E1B,2E13,A5DB,7E06
C1D3,A1DB,21E1,947F
6F78,0F70,5E44,998E
5EA1,3EA9,B4E9,C340
8950,E958,01AF,1F53
1439,7431,44CA,B011
BD4A,DD42,EA63,3651
92AA,F2A2,2C52,C6B8
A577,C57F,BE5B,38AF
CE3B,AE33,FA3F,1D7A
37E8,57E0,4FAE,2CD6
0104,610C,975D,904D
1821,7829,B203,C4AF
657B,0573,50E0,94DA
07E3,67EB,7949,656D
EE52,8E5A,BE4D,D8D9
B568,D560,BD1F,B0AF
7000,1008,54C4,97BE
854A,E542,240F,F672
D729,B721,E39E,339A
C1E9,A1E1,B965,31F7
5E82,3E8A,A8AD,A4DD
B227,D22F,2B35,3A0D
1E6A,7E62,3A21,0A2B
297C,4974,E666,3A59
3F6D,5F65,2225,BEA0
88A8,E8A0,4156,0D37
2538,4530,9C70,33A2
2E71,4E79,9F31,51F7
7CA0,1CA8,9C9B,5D73
376B,5763,ACF2,CBD1
31A0,51A8,3E4D,2F15
6089,0081,A4BE,F00C
4938,2930,9C6D,278E
AE70,CE78,4CEB,F392
15A2,75AA,EBCB,3BC7
ED28,8D20,2EAF,8853
238D,4385,891D,C447
A54D,C545,5C37,52A7
A136,C13E,655A,B9FF
0A36,6A3E,AA0D,4DF2
90DD,F0D5,E3FA,365E
CD53,AD5B,C1EF,1471
D52E,B526,6924,F4E0
8669,E661,D7B6,3B54
CD28,AD20,F5C2,444B
39E0,59E8,7E4C,EF19
C914,A91C,2067,6063
6B0F,0B07,0F0A,9F0C
D00D,B005,91FE,880A
1350,7358,D12A,F2BC
97B1,F7B9,3B23,EA61
58BA,38B2,0541,0391
8432,E43A,2A89,C2D5
8DFA,EDF2,6400,767A
00BF,60B7,087C,787D
E4A2,84AA,F092,231F
DFF8,BFF0,0189,0529
D7CA,B7C2,D7F7,9D74
F21F,9217,2A1F,C936
9E11,FE19,8C60,9424
F971,9979,AA54,47A1
1735,773D,9AA3,A3DE
8D7C,ED74,BC2F,6AAA
AEF0,CEF8,AE83,ED3F
310C,5104,3463,D3DF
C77E,A776,D6A8,7331
31F5,51FD,150E,AC84
D3C4,B3CC,8CC8,4596
B8AA,D8A2,8698,9A7D
17EE,77E6,4D3E,E32C
F0D5,90DD,365E,E3FA
5191,3199,A6D3,E06F
C84A,A842,B228,33E4
3F21,5F29,2C5E,4726
C9F4,A9FC,A899,B898
C30F,A307,B574,3208
A266,C26E,5D99,CF2B
CF9E,AF96,3244,9C6C
B135,D13D,355B,E0B7
EB05,8B0D,2DBB,60D1
FFBA,9FB2,645B,950F
4DFF,2DF7,D8CF,1C3C
80C3,E0CB,0881,D9D2
4E43,2E4B,1937,F3B6
62D8,02D0,0FD1,E4B7
6917,091F,044E,744B
DF3C,BF34,B955,E00B
03ED,63E5,31E4,C3BE
FBBA,9BB2,BB06,385E
6162,016A,46CE,36C2
F600,9608,30EC,564E
5EAA,3EA2,80D5,8215
DCBE,BCB6,D7D6,AB99
5B35,3B3D,C30D,8F47
5D1E,3D16,4D07,58AB
7E50,1E58,2577,F191
0398,6390,4898,3BEB
829D,E295,BD8D,A046
5F94,3F9C,B248,C9EE
E5EC,85E4,CD69,9723
2C49,4C41,7320,CCD3
EC2F,8C27,974A,3D9F
3142,514A,2907,2637
5967,396F,7163,7C33
7B07,1B0F,F4E3,64E1
7D74,1D7C,C293,C6E3
18B6,78BE,52DD,2804
458F,2587,4541,9A8B
3F5A,5F52,A80D,A4CD
D3A7,B3AF,89CE,FBB6
9E75,FE7D,B394,44CB
33E6,53EE,03BA,C93E
AD09,CD01,C88D,69DF
3CDD,5CD5,4ED0,3275
3EB3,5EBB,A307,32F2
AAD0,CAD8,472B,F1D2
C28D,A285,8B22,8032
AD81,CD89,C6C0,DE0D
6F93,0F9B,8BA2,A429
0764,676C,D47C,D82C
A6D0,C6D8,1E8E,0D38
6545,054D,0B49,E67D
82BD,E2B5,30D7,0DB3
6E91,0E99,58C3,FDD5
BD1B,DD13,9993,573B
12AD,72A5,107A,ABE0
5169,3161,587A,7249
6B75,0B7D,33B3,C1EB
203D,4035,CFA6,8E83
B49B,D493,4F59,83CD
84C5,E4CD,59BB,FD2C
9E03,FE0B,37D7,1A4F
731C,1314,3842,3452
967A,F672,481E,D14B
39AE,59A6,2CEA,E393
2543,454B,B714,FC32
8BBB,EBB3,4222,391E
6132,013A,60BA,A0BC
4A2B,2A23,A6FB,7B96
9C8B,FC83,6F7E,0103
FFDF,9FD7,B0AC,8FCD
8DF6,EDFE,9DDD,E8C1
C628,A620,B47D,C5AA
15FB,75F3,2E49,0F1F
33A3,53AB,EC25,D6E3
3790,5798,6C09,06FC
6932,093A,56C9,E6C1
6761,0769,8CF9,7084
2FAE,4FA6,A887,5DFA
3218,5210,8083,F792
2397,439F,09A1,3E1B
3232,523A,8E65,8125
4FEA,2FE2,ECC7,4178
5569,3561,FD1E,8436
36CB,56C3,EE13,B07C
5909,3901,F5AE,8EC6
676D,0765,F93A,CCF1
5630,3638,8DCE,F206
809D,E095,7F9A,F454
66D5,06DD,F155,232C
39C3,59CB,8ADA,7D98
E6C0,86C8,41D9,0D6B
FE35,9E3D,E069,3446
EA2B,8A23,8D10,6358
1B48,7B40,67B2,74CF
073D,6735,8511,4E37
C854,A85C,D11E,1110
56CB,36C3,82FD,730E
0DBF,6DB7,723B,023E
D72D,B725,41FC,5802
07D1,67D9,0FFD,8D5B
B4AE,D4A6,F132,1870
DD78,BD70,DF72,D292
1C77,7C7F,06CB,36C1
AA74,CA7C,6382,D38A
1E1F,7E17,AE0B,DE07
ED9E,8D96,2700,DFAC
17F8,77F0,FA01,2617
7188,1180,2079,BE11
0B50,6B58,4AAC,8515
AC31,CC39,B83D,34E0
DF13,BF1B,D163,B0BB
5EAD,3EA5,D7AD,BEF9
45A9,25A1,A272,150F
AFE4,CFEC,EEF7,4EF8
4F0B,2F03,41C3,C3A8
85A1,E5A9,A112,433D
7A5F,1A57,D6CC,16CF
9967,F96F,FE27,355A
95AD,F5A5,4BCD,5118
29E5,49ED,4193,5CB1
8C5A,EC52,840B,4673
094B,6943,E2BA,2E63
6CAF,0CA7,61BF,A1B4
6694,069C,1174,17A4
2712,471A,2D9B,15BD
D776,B77E,CBC4,576C
27B0,47B8,265E,9B2D
103E,7036,8D33,0329
D6D9,B6D1,3D39,ED36
D263,B26B,EC71,0AD7
F17E,9176,AF59,2F5B
7451,1459,F4B4,C00B
0889,6881,249D,926E
4042,204A,E59C,0215
D1C1,B1C9,36F8,B6F4
7A76,1A7E,4677,EFE8
4CB7,2CBF,77D7,E970
C3B6,A3BE,DC37,1673
748C,1484,A90C,A1CC
D04A,B042,7A59,3B82
99F8,F9F0,E530,4C5F
E0FA,80F2,106F,9B06
65BC,05B4,F77F,F02F
1048,7040,DB8B,B923
FD96,9D9E,3BF7,DBFC
4FBA,2FB2,476C,E33E
77BA,17B2,73FA,23FE
07DB,67D3,3426,7BAC
BCE4,DCEC,D007,095F
7B41,1B49,D01A,84C1
762D,1625,DEC9,860C
05D8,65D0,F064,D91F
8BF0,EBF8,642A,56CD
16C3,76CB,E6B3,289A
C56A,A562,38EB,B12F
29F6,49FE,DE16,E070
2440,4448,E89B,D2FC
CD77,AD7F,DD82,0AA1
CEB3,AEBB,C48F,11D1
660E,0606,D527,50EE
FA25,9A2D,FFCD,6D18
C7E4,A7EC,BA73,AA77
B9A3,D9AB,3541,BE7C
E4F1,84F9,0975,1431
929E,F296,CAAA,BAAD
DF90,BF98,3C64,3874
30F5,50FD,D85C,BA35
D647,B64F,4503,2112
333A,5332,64D6,68A6
F752,975A,96BE,1C5B
C3F1,A3F9,B23E,5A21
3784,578C,24EF,BA54
E862,886A,4513,829B
5FBF,3FB7,E76E,EC8E
B8F3,D8FB,60D7,9F05
5FB2,3FBA,2AE1,2331
649D,0495,45E9,B26C
6B03,0B0B,8212,AEF9
5E71,3E79,496B,F2D2
A964,C96C,438C,E38E
C942,A94A,9A45,87DF
4120,2128,B8BE,6BF5
DDD5,BDDD,67A8,BF01
F585,958D,82D7,9CEB
F8A4,98AC,CCDB,2FAE
BD3B,DD33,E270,0EDA
276B,4763,B3B5,693E
FBEC,9BE4,33A8,9631
D9DC,B9D4,4D8E,7E39
B50C,D504,A4B8,1376
D331,B339,6366,936E
5B6A,3B62,6F98,6848
8678,E670,500A,C68F
FA29,9A21,92B4,80A0
877E,E776,8D2F,00F0
EF36,8F3E,8A29,05F3
412B,2123,42E3,C8B8
D97E,B976,8927,94EB
6D03,0D0B,D020,91AB
1B70,7B78,FCF4,DBDF
76AB,16A3,9E2E,D401
EF06,8F0E,CB18,93A7
DD72,BD7A,7BB0,29C4
8867,E86F,C6E8,59C1
52C1,32C9,6717,5E2C
B0F0,D0F8,7A34,76D4
1880,7888,C26C,81AA
2D52,4D5A,6A1D,D08B
4CFF,2CF7,FCFC,782F
CDE5,ADED,D351,D6F1
DA90,BA98,0805,0CE5
A157,C15F,BCCB,392F
D78C,B784,80D3,692C
8EF3,EEFB,5CD4,2E8D
92E1,F2E9,9338,850D
4AA8,2AA0,57C5,FCA3
9344,F34C,A268,2C41
A46A,C462,3579,E206
B89C,D894,CC75,35BC
9CEE,FCE6,E4B2,A4BB
3195,519D,A853,1A3B
F573,957B,5FB0,1187
C6AE,A6A6,F9F9,155B
9E86,FE8E,899F,E99A
6EE9,0EE1,63C0,D61F
CDCC,ADC4,9F37,CF38
D33C,B334,1B7B,38A5
0EB7,6EBF,453E,3532
B39D,D395,4538,06B1
99B8,F9B0,9CD3,C569
FF76,9F7E,E98F,A983
2635,463D,819E,9CBA
FA5D,9A55,DFFC,8BA9
573A,3732,7D8F,775F
6AB4,0ABC,0D98,0EE8
A012,C01A,7E13,5F42
595C,3954,7B36,1C43
