x,xStar,y,yStar
3060,5068,16DB,26DD
7EE8,1EE0,2187,6AB8
FF89,9F81,DD5E,DBAE
B3F0,D3F8,135C,F574
AE78,CE70,B4E7,3791
1E89,7E81,D0F2,2403
9FB0,FFB8,2E10,A8E3
D352,B35A,EDAF,E76F
856D,E565,FC39,BF5F
D165,B16D,BF62,73B0
F279,9271,B98C,B6CC
EB7B,8B73,1C98,B653
2DD9,4DD1,3EA8,C3E7
A839,C831,CF1D,5F11
6152,015A,2DEE,7DE2
735F,1357,AFF5,9FF3
D92C,B924,1382,B38D
B804,D80C,FDC3,DDC8
82C4,E2CC,CCF9,0A71
F662,966A,2030,9AD5
BCB6,DCBE,77C1,1AA5
87F9,E7F1,38E3,8B7A
524E,3246,71AF,F68D
0CF4,6CFC,60B0,546A
84C9,E4C1,D499,9A2E
5D38,3D30,C458,B451
565F,3657,1091,4E2E
5ED3,3EDB,4835,5391
C757,A75F,408C,010E
CF76,AF7E,C6A8,3747
9207,F20F,19AF,8C91
CA5A,AA52,34D8,3228
35D0,55D8,D8AA,98A3
B307,D30F,6C44,B371
7A87,1A8F,7CED,ECE1
45D5,25DD,1312,E9EF
4AE7,2AEF,C276,E695
5058,3050,7004,600F
771A,1712,5495,1C4E
DA6E,BA66,CED8,3567
DBEB,BBE3,4827,A065
9961,F969,71D4,7204
7A5D,1A55,3998,D369
0E09,6E01,DB56,61EF
B832,D83A,0E6F,0CEF
F7E2,97EA,9034,2ADE
0668,6660,78CB,F674
96F2,F6FA,6AE5,E72C
4181,2189,E80D,D940
654E,0546,6F1D,8E66
786F,1867,1737,373A
3A0F,5A07,902D,4C19
0590,6598,A7EC,88F7
2617,461F,5A74,3056
2B5E,4B56,7CB6,096A
3CA1,5CA9,458D,5390
8DB0,EDB8,1C8D,CB56
80DC,E0D4,F82A,E735
EDCD,8DC5,6185,1CE8
BD46,DD4E,EA36,D7FE
D2B3,B2BB,5E29,023D
F720,9728,783D,3CB6
C4B5,A4BD,4915,23E2
6D7F,0D77,FA13,C852
44F2,24FA,9F96,2633
94D4,F4DC,FB56,FFF6
064A,6642,2167,7161
0AC3,6ACB,4C66,49B6
0701,6709,3ABC,4747
2BA0,4BA8,C324,DCF0
F87B,9873,DFA0,B20F
5CFF,3CF7,0715,B3D6
866A,E662,0671,FE44
3646,564E,9C4C,3D33
771B,1713,88FB,EE83
2CDF,4CD7,0B7D,BC94
806F,E067,790C,95A1
81E5,E1ED,DE52,072E
B988,D980,38BF,93ED
8361,E369,45E9,FF76
14B5,74BD,942A,810C
A07B,C073,1781,814F
7072,107A,C633,2A58
C078,A070,F4C2,63A7
5036,303E,C28C,DC9F
3CDD,5CD5,39AA,00DD
2A17,4A1F,4445,CE1D
340D,5405,0831,3722
7C1E,1C16,C1B7,C4A7
06E2,66EA,264D,464F
66F0,06F8,EAEC,BE53
F57A,9572,1297,9670
EF1D,8F15,6B15,19F8
4DB3,2DBB,0B57,88C9
2462,446A,604A,A70B
0A6D,6A65,6434,8D95
09BE,69B6,86D5,184A
BB96,DB9E,50FC,4F3B
4893,289B,8ED6,0011
624E,0246,54BB,D732
912D,F125,4C8D,6B5A
49DB,29D3,814D,29BE
6FA3,0FAB,21A8,2AF8
9E8D,FE85,70FF,AF30
418F,2187,0A8B,2097
16A7,76AF,8979,297B
D4B9,B4B1,2772,877C
BAE6,DAEE,B0F2,8F39
DB99,BB91,18AF,38A8
619D,0195,35FF,CE3A
FFD5,9FDD,9AA2,C7C1
1AB2,7ABA,82B7,0E79
0D7A,6D72,1BCB,6BC0
BA4F,DA47,9473,C96B
45E0,25E8,F4AF,7D1D
0D4D,6D45,AF6B,0652
0BB5,6BBD,14F4,7333
794C,1944,7158,A436
90C4,F0CC,4465,4975
7CFA,1CF2,DCC8,C462
2575,457D,5E49,8033
59AB,39A3,2E64,3AB8
5788,3780,393A,8933
863C,E634,CA47,6D93
4CA9,2CA1,8588,2FAF
FE16,9E1E,408A,8426
5CD2,3CDA,AD26,028D
4C06,2C0E,9E78,1ACD
13C5,73CD,5B46,70C5
4421,2429,FE6A,A33F
C1FC,A1F4,FB1E,BB14
7CC7,1CCF,F54B,B548
61DF,01D7,F003,C182
C3B1,A3B9,4623,3626
9708,F700,7E69,3F1C
BC8F,DC87,EA40,82AF
FDC3,9DCB,A2CE,B003
3FC0,5FC8,8A13,3A1A
53F6,33FE,56BF,1B0C
BD81,DD89,FF97,0F9A
9BE1,FBE9,9E03,9FD3
2140,4148,0F3F,89EC
4F56,2F5E,9788,152D
5D04,3D0C,B06F,AFD2
D029,B021,7C27,CC2A
959D,F595,CBB1,9C42
C93F,A937,B492,29DB
C1EC,A1E4,A720,8725
A37A,C372,6139,60E9
55FD,35F5,751A,1E0F
CF87,AF8F,7BA3,8468
69BE,09B6,526B,D112
58D1,38D9,45A1,811B
1D8E,7D86,DC64,D074
EBB0,8BB8,E5D6,34F1
88BA,E8B2,9143,A075
60F7,00FF,5C55,2DC9
FFD2,9FDA,D6B6,1B03
20A1,40A9,F7CD,035E
2F70,4F78,1D7A,574B
4536,253E,7CC7,0970
7C71,1C79,5168,BBBD
BD7F,DD77,2CAD,504A
C1FF,A1F7,CE7F,1D67
6A5D,0A55,C5F7,3E38
1262,726A,5468,1CC2
4910,2918,DA6E,8C58
3CEC,5CE4,63A5,94CD
86F0,E6F8,0FA0,A0CE
956E,F566,542E,B08F
CBB9,ABB1,F5DC,55D0
84F6,E4FE,5C6B,F2FD
AA98,CA90,D254,01AA
C534,A53C,D2EB,92ED
E591,8599,BA28,C491
B643,D64B,37E3,89DA
CD0C,AD04,0C7B,6C78
DB99,BB91,18AF,38A8
ACC9,CCC1,9DC2,2DCA
77FB,17F3,7441,A1C2
B0B8,D0B0,CAE7,0CB6
4248,2240,5E0B,168A
3061,5069,8A7E,B056
2C3B,4C33,F1AF,268C
1555,755D,47AD,12B4
B7F1,D7F9,D1C0,41C6
6075,007D,952B,F142
0C29,6C21,2990,ECA8
D182,B18A,6098,61B8
C64A,A642,D0A0,DD30
FC86,9C8E,A6C9,3874
C9D9,A9D1,3EEB,8EED
69D1,09D9,7632,9814
FC5F,9C57,3DB0,2262
D59E,B596,7C44,1BB3
8DA1,EDA9,25EE,7F72
A711,C719,2FC9,1FCE
7EDC,1ED4,061F,3AE0
F894,989C,5F0F,52AF
2DC1,4DC9,B893,6B25
D255,B25D,47D9,954D
7015,101D,85BA,C1E4
3BCD,5BC5,2E4D,529A
CB37,AB3F,5A59,9810
351F,5517,C142,63A0
D933,B93B,FBBA,E375
787C,1874,C614,9AEC
3DAF,5DA7,33CB,21BE
68CC,08C4,42B8,2D6E
94A5,F4AD,2139,845B
26B7,46BF,7EB2,D40F
7A87,1A8F,7CED,ECE1
FAE5,9AED,5F33,20FB
D3C4,B3CC,7B45,CB43
5116,311E,4877,7159
FCBD,9CB5,7931,C354
F9CA,99C2,64A2,E3C3
10FE,70F6,DEB4,DDC4
361C,5614,784D,DDB5
4021,2029,3D9F,C15A
1990,7998,6CC8,2537
0323,632B,A9C4,AC74
C906,A90E,FBCF,AFBA
B5B7,D5BF,7996,CFB0
6460,0468,4D8D,222F
9203,F20B,0B76,3A38
75C3,15CB,C288,BB71
C9F0,A9F8,28C2,7C8E
DC3A,BC32,91A7,9737
2539,4531,C88A,397F
FC3E,9C36,6B9B,41A3
07EA,67E2,7922,292E
24A7,44AF,C130,48D1
B45A,D452,6988,6F08
EFA2,8FAA,54B6,EB90
DA76,BA7E,5887,7CC2
3EA4,5EAC,63BE,EA3F
E491,8499,3B79,88EE
0B3F,6B37,7078,AEE6
F24E,9246,EB99,81A5
58F0,38F8,ABFF,0BF7
5B4E,3B46,222B,4994
AB4A,CB42,06E7,0E37
E28F,8287,ABB4,EE87
4892,289A,3C22,4A4A
5E82,3E8A,F9ED,9C56
6AAC,0AA4,510A,6BF0
04BD,64B5,D8B3,53E1
5BB0,3BB8,12C4,C2C5
2C35,4C3D,84B2,5AF4
C90F,A907,A04A,0CA8
3290,5298,7DF2,6DF6
6CDC,0CD4,07FD,C50F
0543,654B,BB2E,B18E
C558,A550,AF2B,20EF
6081,0089,DCAA,699E
38B8,58B0,B63D,2636
E7DB,87D3,3884,6977
4BE5,2BED,1822,EE0F
C57D,A575,ADA6,3ADA
D352,B35A,EDAF,E76F
2C16,4C1E,DB69,0E26
E5FA,85F2,C347,A06D
B040,D048,3136,08D8
3346,534E,8811,DBD9
2840,4848,3465,EBAE
36C2,56CA,4FE7,8AA0
B850,D858,3446,0E18
44A7,24AF,3F2D,D0E4
61E6,01EE,120A,8DF5
2DDB,4DD3,466B,710A
555F,3557,7133,5640
47CC,27C4,E1A6,3DE1
4371,2379,BACB,8F2C
24D5,44DD,3E4F,F036
6164,016C,88E9,2D2B
534B,3343,2524,3788
E153,815B,8E0D,34BB
9F38,FF30,ECB7,483F
0C30,6C38,1060,D9C5
8BCE,EBC6,B296,E1E7
A8E0,C8E8,2C1F,AB0B
806A,E062,25AD,826E
9859,F851,1500,13B0
15A0,75A8,52A1,43F5
171D,7715,29D9,7E86
02EE,62E6,5A11,0E3F
CFE5,AFED,A4ED,111F
40C4,20CC,9D5A,6EF9
ABB1,CBB9,55D0,F5DC
022D,6225,B148,252A
398E,5986,8EA4,0420
53E1,33E9,48B1,83EB
8B29,EB21,5F56,F5C2
6644,064C,1495,3373
797A,1972,751B,468A
0B9E,6B96,F8A0,E692
824E,E246,1C7A,A820
4AB3,2ABB,42B0,79F4
08BC,68B4,AA55,9783
0BB5,6BBD,14F4,7333
8C5D,EC55,705E,EB34
CEE6,AEEE,16A5,7741
CBE8,ABE0,4067,1FD2
4AF3,2AFB,CC45,DD3E
5416,341E,BAF8,9062
1143,714B,18A6,FEB8
1AF2,7AFA,FC4C,249F
20F5,40FD,ADC8,CC50
7B33,1B3B,3EEA,83A3
6D53,0D5B,1A0C,119C
703E,1036,9B74,90D4
F4E5,94ED,F46E,13D7
A2A5,C2AD,FADF,CDAE
3BF3,5BFB,E6FE,F80B
DA60,BA68,2D93,443C
5831,3839,C95D,FE68
178C,7784,4572,F7CE
3C74,5C7C,6D3E,EBBF
84F9,E4F1,778F,63A4
5DFF,3DF7,6A7E,F4E1
D583,B58B,FFAA,E1D5
0FA0,6FA8,806F,A9C9
B2F2,D2FA,4E6E,4CEE
B124,D12C,CE45,2E4F
1026,702E,33FF,398F
3AD8,5AD0,8756,675D
3886,588E,8B51,D8C9
E2C4,82CC,3112,2F80
BFFE,DFF6,52A4,715D
F571,9579,08CD,01ED
DD12,BD1A,B584,B204
A105,C10D,B88C,5715
FA3A,9A32,5296,B67A
5CA0,3CA8,1474,C475
D2AE,B2A6,FB5F,AC8A
40A5,20AD,FE9D,8865
5DD0,3DD8,3BF8,7BFA
3C9A,5C92,9036,F41D
1CF2,7CFA,C462,DCC8
DF7E,BF76,CD78,3897
0AF9,6AF1,7C43,99D9
70F1,10F9,140E,90FF
94D3,F4DB,976D,CC8A
A002,C00A,4662,43E2
EA65,8A6D,22A3,97B6
7910,1918,C9E5,EDC6
EBBF,8BB7,3891,600A
2412,441A,9512,B4B8
E911,8919,A69B,412D
C53A,A532,C97A,CA0A
8462,E46A,95F9,7A13
C687,A68F,BE0B,1686
C288,A280,37E9,DA28
3575,557D,D41C,E30B
FA79,9A71,6D56,6BA6
C643,A64B,F219,E49D
04CD,64C5,921E,F0A0
4BD2,2BDA,1E80,D9D5
1640,7648,6498,2607
8CAF,ECA7,0B42,1AE4
7693,169B,35DA,84F3
D4E8,B4E0,1F47,F71E
FF81,9F89,BA07,B0B7
26B5,46BD,9DC4,7C52
7A5B,1A53,56EC,2A14
1257,725F,5B82,EB8C
85C0,E5C8,6A34,87F5
F36E,9366,73C7,AF7E
D223,B22B,DD06,AA5C
D593,B59B,DBB6,A37C
913C,F134,BB38,BA78
DA17,BA1F,78EE,A507
7FE9,1FE1,F5A0,1DBF
E42F,8427,9898,5003
6910,0918,47DD,254F
D5A9,B5A1,2C22,8C2C
BB66,DB6E,F7C8,AAA7
DF97,BF9F,CF5B,9BF3
07A2,67AA,7174,F17B
0793,679B,2C62,29B2
6A68,0A60,2F03,9156
CCD4,ACDC,71C8,61C1
8BB2,EBBA,9339,7003
1A45,7A4D,AB45,20C6
4782,278A,093D,6E91
1EBF,7EB7,01A0,61A5
2BF7,4BFF,609F,9A82
3EE0,5EE8,2007,1005
47EA,27E2,CE4C,D30F
C5DE,A5D6,331C,D7DA
DB56,BB5E,E613,C960
9DE6,FDEE,201A,543D
32AA,52A2,1030,C41E
A302,C30A,5D3B,50AB
935B,F353,15B2,E1EF
BB55,DB5D,E393,4201
0BA4,6BAC,7F81,F329
13A5,73AD,1C57,4F32
8ADB,EAD3,4CDA,A233
F2F9,92F1,E4F0,E740
B1AD,D1A5,4BDA,9145
2579,4571,4AD2,5FF9
EFFC,8FF4,FF0F,76CD
459A,2592,B558,9492
6EB4,0EBC,5512,EE0C
A2E0,C2E8,3E30,D5F3
220A,4202,0506,61C3
BF44,DF4C,9E4F,5E45
D5E6,B5EE,794D,56F4
7BC3,1BCB,203D,176B
B2F5,D2FD,B6AA,24F8
E1C1,81C9,E5C1,0F58
324D,5245,C4B8,9C76
0C79,6C71,6C4E,D9DA
6F68,0F60,38FB,47E8
306D,5065,226D,5ECA
CB11,AB19,8625,A620
BB7D,DB75,93BD,4F69
56D9,36D1,1BCA,76EF
5FCC,3FC4,B174,5229
34EE,54E6,F88E,2195
2D18,4D10,9B40,372A
1F68,7F60,255E,A371
C7BD,A7B5,DF08,215D
A589,C581,5833,C836
91D1,F1D9,274D,24FD
7853,185B,F28F,5B74
0DB7,6DBF,7290,05B7
78B2,18BA,8630,7A59
4098,2090,1234,55E0
1DE0,7DE8,22AA,63FF
4036,203E,F8E5,C65C
AAEF,CAE7,DF31,F9EA
DEBA,BEB2,D1AB,D73B
4826,282E,E6F9,6804
2B31,4B39,AD06,9C60
A66D,C665,BFFE,EC88
8473,E47B,CB8E,227C
C583,A58B,EAE5,F96A
6BFC,0BF4,A5EC,1753
34B8,54B0,6BF9,8BFC
DCA3,BCAB,7FA3,B1D7
EE99,8E91,09FC,D2BD
5F5A,3F52,9818,19BD
9CAF,FCA7,1724,C395
BBFB,DBF3,A23C,DE26
796A,1962,0969,80C7
E83A,8832,B00B,4335
B4ED,D4E5,6A01,CEFF
FC4F,9C47,EEAA,FA95
8A13,EA1B,3650,6C99
0410,6418,A06C,89C7
EB35,8B3D,6781,02FD
DDF7,BDFF,CB3B,9F83
F62C,9624,C650,C7F0
DB16,BB1E,088E,BCC1
E6D1,86D9,6E34,704F
B1FC,D1F4,D7AC,47A2
5896,389E,587F,115C
E537,853F,CEFA,A19E
FCBD,9CB5,7931,C354
7FA0,1FA8,3E04,D4BD
BBF5,DBFD,FA8B,91B2
7D8F,1D87,6522,B52C
BF16,DF1E,4649,52B2
6D8D,0D85,A4C8,F3A7
B1D1,D1D9,9001,A004
C07F,A077,D78D,5636
5C83,3C8B,0BEC,97BB
B49C,D494,A284,9281
5FC3,3FCB,8703,BBC4
C681,A689,54B1,C4BD
BB1A,DB12,8D55,8715
3EFC,5EF4,5E37,35FB
DB2B,BB23,FBF2,5EA6
D11F,B117,D6CA,4ED7
1E88,7E80,3DC7,D9E2
32BC,52B4,91B0,6941
BA0C,DA04,76B7,C6BA
2E1B,4E13,0661,8106
19A0,79A8,FAB0,A18D
0CA2,6CAA,DFAE,8FA8
C862,A86A,EFDB,E9CB
9BE1,FBE9,9E03,9FD3
558D,3585,0967,91D8
7E55,1E5D,2E85,79D8
2EBF,4EB7,2FD1,A06E
1053,705B,F00B,1B23
E762,876A,D389,4C0B
9133,F13B,8847,E4EE
5328,3320,234D,134B
2EC2,4ECA,52A3,1BED
6FE2,0FEA,505C,A05D
ED0D,8D05,AC72,51AE
1A0B,7A03,FC16,56B2
BB54,DB5C,983F,5835
6D8D,0D85,A4C8,F3A7
655A,0552,8648,D64E
9A2E,FA26,E90B,6CF1
1A33,7A3B,B5BA,DDAD
1041,7049,6F2B,4C03
A15C,C154,334B,834D
5C25,3C2D,3852,0701
9A59,FA51,6CA3,6223
19A3,79AB,2004,5B2C
CC94,AC9C,15BA,25B3
3C8E,5C86,2158,F872
0336,633E,54DE,D700
B88C,D884,103F,3038
EA02,8A0A,E1FC,5022
2D52,4D5A,1CCC,562F
E4CA,84C2,CE87,A7ED
552A,3522,FAA5,CFEC
AE01,CE09,3035,8037
50D8,30D0,8349,334E
4E76,2E7E,3B31,A11B
6657,065F,6D17,4CDE
C772,A77A,01B7,0097
8AD1,EAD9,95E5,EF78
D8D4,B8DC,F907,090A
D61C,B614,C26E,226C
E8CC,88C4,6136,5597
A13C,C134,86D7,36D5
62F7,02FF,65D7,4F1E
522F,3227,DC66,3D05
0667,666F,429A,85B6
DEA1,BEA9,B0DD,10D2
FC8D,9C85,DC2D,4F0E
2E7B,4E73,D79E,C325
8D3E,ED36,1B1A,AD60
66FC,06F4,20C1,4479
7564,156C,091B,DC30
2AC8,4AC0,AEE2,19B5
4DA0,2DA8,64A6,5D17
AF0F,CF07,15E6,B23B
DB0F,BB07,76C2,CEDC
5B78,3B70,51C2,F1C6
49CF,29C7,4A81,C090
7892,189A,BA4E,16CC
1FDB,7FD3,6C1F,76B4
4413,241B,4680,71A4
F0E9,90E1,0A21,0371
7E41,1E49,CA82,FE23
C423,A42B,E955,FABA
604F,0047,245C,DB15
DB30,BB38,6521,5149
3FD4,5FDC,D486,27CA
FC79,9C71,9A23,9373
183F,7837,DCE3,1CE6
22EA,42E2,ECA4,7A1E
2FD8,4FD0,F6BB,7FE4
60F8,00F0,1EBE,D274
9F88,FF80,697A,8628
B40E,D406,E968,C619
20C6,40CE,92EA,E3D4
8BAB,EBA3,B26F,CCF4
7B4B,1B43,B6E2,DA11
C812,A81A,3E34,36E4
BB20,DB28,22D8,5C36
EFB8,8FB0,D7F7,5A3F
FDA0,9DA8,5CD7,D80F
8FA5,EFAD,31A4,BC7A
676C,0764,62B3,5D6C
31C6,51CE,C10E,0668
F784,978C,2355,2DD5
840B,E403,483A,A1D3
82FC,E2F4,12C1,8E6F
75D8,15D0,DA6A,E12F
021B,6213,56B3,5483
3F6D,5F65,6556,4608
0C05,6C0D,A0EF,FF2A
D7A9,B7A1,5A1D,EA1E
9661,F669,0411,0761
BCCA,DCC2,269A,2EBA
3436,543E,15E2,AF75
E3C3,83CB,41DE,A839
2591,4599,0BB9,F8FB
6824,082C,C6F8,723F
A370,C378,30E0,DF23
2298,4290,5B47,6726
46A7,26AF,C886,ED55
296D,4965,21DA,0479
6606,060E,53A0,0F92
5504,350C,ADB9,B84A
A843,C84B,BF48,C461
DE0E,BE06,7B54,1C83
EC74,8C7C,C0AB,69DE
1294,729C,EAEA,861D
ADE0,CDE8,0989,B158
1C74,7C7C,1212,F7E1
17F2,77FA,B7FF,98EC
B4E1,D4E9,42E2,D2EC
05DD,65D5,47D7,EB8F
8E03,EE0B,0FF9,4AD0
63FF,03F7,8936,4FEA
BE7B,DE73,BCF7,74E3
4F8E,2F86,F3DC,42ED
7486,148E,4268,4A78
54CD,34C5,749A,137F
B35D,D355,58C8,0674
3DED,5DE5,7BE4,A3FC
15A4,75AC,3430,015F
73D8,13D0,93F9,02A2
CF95,AF9D,D91A,83E0
46C3,26CB,BAAD,9483
A31E,C316,274E,66A6
AC0D,CC05,9AC8,364E
7253,125B,5C52,F696
D89B,B893,5A4F,F154
7262,126A,80B0,7BA9
1AB3,7ABB,F45B,1133
659A,0592,FBBB,7BB4
EACA,8AC2,EF9D,24C7
54F9,34F1,12FA,7C6F
1E7C,7E74,1054,64EA
31D7,51DF,B896,0B25
52B0,32B8,4752,E75B
6C05,0C0D,CAC6,1C0D
5815,381D,885F,E700
028E,6286,7E8C,BA26
5582,358A,41D4,EB45
6CDD,0CD5,5C99,4B72
8A87,EA8F,3006,689B
5928,3920,9453,D45A
F6E0,96E8,438F,EAC7
A105,C10D,B88C,5715
C906,A90E,FBCF,AFBA
7440,1448,3864,D1FD
1876,787E,E72D,E20D
3CBC,5CB4,AC12,BB0F
7504,150C,24E8,7055
2D54,4D5C,BF4E,9A05
099E,6996,62E8,CD54
DC2F,BC27,EFB8,599F
1B98,7B90,5DCC,79EA
F3FD,93F5,9935,A353
304C,5044,70ED,DF25
8EC0,EEC8,156D,CED6
FF0B,9F03,8E2C,E1B4
19A4,79AC,8951,E332
77F3,17FB,1285,2B77
563B,3633,2D94,32A8
A76F,C767,22B4,C597
1D50,7D58,DCC7,E538
6FAF,0FA7,3344,AC79
301F,5017,B67F,7761
4D6E,2D66,A0F9,58A6
FF3B,9F33,9FA1,C202
3850,5858,51C4,F1CF
20B4,40BC,139F,5E5C
C167,A16F,FD2A,D7F1
61CF,01C7,277C,DD45
6DB7,0DBF,4034,6E4C
182B,7823,B1B1,CD18
536C,3364,AE2E,3F7F
B713,D71B,67E2,79D6
3AC2,5ACA,89BA,4816
D75D,B755,A5C0,0C3E
9D73,FD7B,CE32,9171
56CC,36C4,E7CF,648E
7BF2,1BFA,575D,9232
40FD,20F5,CC50,ADC8
2CA6,4CAE,4DFD,FFAC
48C5,28CD,ED6A,1599
A40A,C402,8586,8206
0546,654E,8E66,6F1D
5102,310A,5BA5,D194
A946,C94E,8433,9A40
3F7C,5F74,04FE,2333
D72E,B726,F0CF,AFAA
9D2F,FD27,860C,6169
D649,B641,4E86,DE80
273E,4736,5B8F,B12E
410E,2106,13DE,62E2
30C7,50CF,03DF,B71B
FC8F,9C87,6157,CBE3
A517,C51F,863E,6780
82B2,E2BA,8943,5B69
9CCB,FCC3,08A9,231A
DF66,BF6E,57E7,7492
B003,D00B,1EA7,2BF5
6DD2,0DDA,5C3C,AC3D
B60C,D604,3EE1,1EE4
7CD9,1CD1,BF64,DC9C
D02D,B025,8984,67B5
EBA6,8BAE,0F8B,CEC4
088E,6886,F5B0,E762
DDF7,BDFF,CB3B,9F83
11BF,71B7,FD32,BD3A
7E24,1E2C,B3D5,3F48
EF44,8F4C,DFF4,A1E8
9A60,FA68,47BC,12AA
B426,D42E,B892,8D79
9653,F65B,A1B9,7E25
4813,281B,3994,E220
97A7,F7AF,570D,05F9
BD4F,DD47,D50E,B8E7
03A5,63AD,4692,5279
BE0C,DE04,503D,E03E
91D7,F1DF,AF14,D338
2EF7,4EFF,76E2,DBCF
BD66,DD6E,D0FD,EF30
4222,222A,AF9C,8637
8263,E26B,1972,B88D
8E1C,EE14,2BF0,33E2
F1C5,91CD,3106,0918
8817,E81F,2A18,C173
09A1,69A9,2AB4,974E
9652,F65A,B3CA,54A6
BE26,DE2E,53DC,446B
E19D,8195,6855,1228
D316,B31E,5337,7AB2
EC45,8C4D,3F5B,4C38
C936,A93E,8169,B372
E009,8001,8663,C10F
4251,2259,3B8F,C27A
0050,6058,A33C,8B27
49A3,29AB,7D7A,4CEB
7A12,1A1A,2502,CD2D
8335,E33D,522E,A852
E8EE,88E6,257F,1354
CA9D,AA95,59C5,B06C
0F1F,6F17,D38B,B7A3
723E,1236,75C3,7D43
9D11,FD19,31DA,320A
84C4,E4CC,2374,48FB
5868,3860,334A,8343
0689,6681,B68B,4825
0D08,6D00,91AC,3B93
4D15,2D1D,A476,B1D4
3DD6,5DDE,8101,D669
EC3C,8C34,F9CF,7E0D
7768,1760,AB1D,FE70
35E5,55ED,623B,26FC
B5A2,D5AA,0D9F,001F
A49B,C493,08E5,5F6A
AB14,CB1C,8535,A530
9212,F21A,D021,2FEB
4C26,2C2E,B04E,54DF
7EEC,1EE4,C334,995C
D925,B92D,0C04,59F8
0EDD,6ED5,DAE3,5CB1
B03C,D034,F285,0283
E251,8259,0690,E12C
1286,728E,0605,0A25
99FC,F9F4,D303,DDA3
6AAF,0AA7,F773,CD42
AF56,CF5E,314E,D631
CD64,AD6C,48AE,A8A9
4B9E,2B96,00F6,D8A9
E6D5,86DD,2043,9BC6
C1C4,A1CC,9777,D775
4CF7,2CFF,788C,5D5A
32E6,52EE,3990,922A
3494,549C,03B5,7A3C
714B,1143,FEB8,18A6
2370,4378,02BF,859C
